id,latitude,longitude,name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,reviews_per_month
290701,52.37561,4.9,"Central, big window, rear room with private bath.",1491565,David,"Amsterdam, North Holland, Netherlands",Private room,134.0,3,475,2024-12-03,2,207,3.05
291752,52.35179,4.91082,Cozy & large bohemian style room,1511330,Ton,"Amsterdam, North Holland, Netherlands",Private room,155.0,3,271,2024-10-09,1,334,1.72
304082,52.37191,4.89708,"Private, quiet studio in the centre with terrace",276068,Mirre,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,117.0,3,333,2024-11-06,1,247,2.15
304143,52.3623,4.92028,Unique Beautiful Houseboat (ship),1565319,Dick,"Amsterdam, North Holland, Netherlands",Entire home/apt,200.0,28,50,2020-03-07,1,0,0.32
306852,52.35931,4.89844,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,4,32,2023-04-01,3,0,0.21
307497,52.39185,4.8869,Historical sailing ship Amsterdam,1582128,Jorn,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,356.0,2,103,2024-05-12,2,269,0.69
307621,52.35871,4.89616,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,6,2023-03-27,3,0,0.04
308028,52.35972,4.8975,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,"Amsterdam, Noord-Holland, Netherlands",Private room,200.0,3,36,2023-02-28,3,0,0.28
311124,52.37104,4.87713,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,"Amsterdam, North Holland, Netherlands",Entire home/apt,325.0,3,95,2024-10-16,1,312,0.62
2818,52.36548,4.94302,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,"Amsterdam, North Holland, Netherlands",Private room,79.0,3,397,2024-11-25,1,30,2.08
27886,52.38761,4.89188,"Romantic, stylish B&B houseboat in canal district",97647,Flip,"Amsterdam, North Holland, Netherlands",Private room,200.0,3,292,2024-12-02,1,0,1.86
28871,52.36775,4.89092,Comfortable double room,124245,Edwin,"Amsterdam, North Holland, Netherlands",Private room,79.0,2,662,2024-11-29,2,87,3.8
29051,52.36584,4.89111,Comfortable single room,124245,Edwin,"Amsterdam, North Holland, Netherlands",Private room,60.0,2,781,2024-12-01,2,89,4.67
44391,52.37168,4.91471,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,42,2022-08-20,1,0,0.24
48373,52.32780775677816,4.87680005722526,Cozy family home in Amsterdam South,220434,Vesna & Misha,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,268.0,3,5,2024-04-28,1,4,0.3
49552,52.38028,4.89089,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,"Amsterdam, North Holland, Netherlands",Entire home/apt,252.0,3,570,2024-11-22,1,220,3.32
